series,transform_code,sw_factor,raw_mean,raw_std,trans_mean,trans_std,raw_missing,trans_missing,status
TOTALSLx,5,0,1847344.327796,1234411.327576,0.009506,0.012933,0,1,OK
DRIWCIL,1,1,8.995977,13.960839,8.995977,13.960839,93,93,OK
TABSHNOx,5,0,59419.328271,40604.451131,0.009194,0.01629,1,2,OK
TLBSHNOx,5,1,8159.209853,5685.293618,0.009923,0.012356,1,2,OK
LIABPIx,5,0,85.919624,23.269199,0.002198,0.018324,1,2,OK
TNWBSHNOx,5,1,51260.118684,35204.829144,0.009116,0.018387,1,2,OK
NWPIx,1,0,562.01386,87.457673,562.01386,87.457673,1,1,OK
TARESAx,5,1,43206.675002,29670.358671,0.009003,0.020688,1,2,OK
HNOREMQ027Sx,5,1,16212653.250414,11156577.438777,0.009764,0.01555,1,2,OK
TFAABSHNOx,5,1,39461.930038,27919.128202,0.009189,0.022696,1,2,OK
VIXCLSx,1,1,19.284289,6.481783,19.284289,6.481783,14,14,OK
USSTHPI,5,1,337.526453,87.697879,0.00442,0.013018,64,65,OK
SPCS10RSA,5,1,183.439613,55.616311,0.005492,0.020662,112,113,OK
SPCS20RSA,5,1,200.867767,39.543985,0.006542,0.022256,164,165,OK
TWEXAFEGSMTHx,5,1,111.702374,15.440965,-0.000481,0.030365,56,57,OK
EXUSEU,5,1,1.182562,0.152931,0.000378,0.0386,160,161,OK
EXSZUSx,5,1,2.066891,1.245545,-0.006335,0.042489,0,1,OK
EXJPUSx,5,1,193.169012,100.797059,-0.003352,0.043206,0,1,OK
EXUSUKx,5,1,1.86085,0.498107,-0.00276,0.040005,0,1,OK
EXCAUSx,5,1,1.200528,0.162211,0.001316,0.023835,0,1,OK
UMCSENTx,1,1,85.447547,12.75565,85.447547,12.75565,2,2,OK
USEPUINDXM,2,1,118.318259,42.673859,0.810053,26.337016,104,105,OK
B020RE1Q156NBEA,2,0,9.037079,2.630134,0.024436,0.299504,0,1,OK
B021RE1Q156NBEA,2,0,10.831835,4.125566,0.034211,0.411526,0,1,OK
GFDEGDQ188S,2,0,63.486708,28.879774,0.330978,2.073105,29,30,OK
GFDEBTNx,2,0,9445610.332773,7980726.972334,112776.159916,268407.48748,29,30,OK
IPMANSICS,5,0,67.89322,27.98554,0.00572,0.020801,0,1,OK
IPB51222S,5,0,74.677963,27.013036,0.006309,0.034048,0,1,OK
IPFUELS,5,0,68.283975,17.924709,0.003427,0.027458,0,1,OK
UEMPMEAN,2,0,17.534709,7.257274,0.03208,1.265847,0,1,OK
CES0600000007,2,0,40.302495,0.613967,0.003258,0.242533,0,1,OK
TOTRESNS,6,0,630.46242,1106.683201,-0.000102,0.178995,0,2,OK
NONBORRES,7,0,611.251933,1091.091087,0.012506,0.338629,0,1,OK
GS5,2,0,5.443083,3.07675,-0.000702,0.534984,0,1,OK
TB3SMFFM,1,0,-0.410299,0.650955,-0.410299,0.650955,0,0,OK
T5YFFM,1,0,0.67181,1.28288,0.67181,1.28288,0,0,OK
AAAFFM,1,0,1.978975,1.85638,1.978975,1.85638,0,0,OK
WPSID62,6,0,121.917248,75.353811,4.8e-05,0.064424,0,2,OK
PPICMM,6,0,129.800379,74.529069,0.000516,0.060922,0,2,OK
CPIAPPSL,6,0,101.795369,31.088385,1.6e-05,0.008689,0,2,OK
CPITRNSL,6,0,126.122716,72.154326,-1e-05,0.024689,0,2,OK
CPIMEDSL,6,0,220.698724,176.848454,3e-06,0.004031,0,2,OK
CUSR0000SAC,6,0,119.352885,59.345271,2.4e-05,0.010451,0,2,OK
CUSR0000SAD,6,0,92.774518,32.621124,1e-05,0.007642,0,2,OK
CUSR0000SAS,6,0,162.000576,112.571316,-0.0,0.004177,0,2,OK
CPIULFSL,6,0,140.675671,85.218284,3e-06,0.006049,0,2,OK
CUSR0000SA0L2,6,0,135.209421,77.603132,2.5e-05,0.00716,0,2,OK
CUSR0000SA0L5,6,0,136.974149,81.110793,2.4e-05,0.005722,0,2,OK
CES0600000008,6,0,12.964933,8.212207,-1.2e-05,0.004216,0,2,OK
DTCOLNVHFNM,6,0,144087.341509,147606.859473,-0.000205,0.039603,0,2,OK
DTCTHFNM,6,0,361614.381936,342987.758852,-0.000119,0.026461,0,2,OK
INVEST,6,0,1385.672199,1546.824231,0.00019,0.019126,0,2,OK
HWIURATIOx,2,0,0.657166,0.339461,0.002367,0.086474,0,1,OK
CLAIMSx,5,0,352192.640449,185785.144377,-0.000736,0.150074,0,1,OK
BUSINVx,5,0,945846.500551,714850.316444,0.012978,0.014504,0,1,OK
